Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,90042,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, GERMAN, HINDI, ILOCANO, KOREAN, MANDARIN, PUNJABI, SERBO-CROATIAN, SPANISH,  URDU,  VIETNAMESE",NGA,(818) 896-2255,"840 NORTH AVE. STE. 66
LOS ANGELES, California 90042
(34.11332226400003, -118.19142869099994)"
ASIAN PACIFIC COUNSELING & TREATMENT CENTER,90017,4,SA 4 Metro,OUTPATIENT,"CRISIS INTERVENTION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT,"AFGHAN, CAMBODIAN, CANTONESE, ENGLISH, GERMAN, JAPANESE, KOREAN, LAO, MANDARIN, SPANISH, SWEDISH, TAGALOG, THAI,  TAIWANESE,  TOISAN,  TURSKISH,  VIETNAMESE",NGA,(213) 252-2100,"905 E. 8th St. Los Angeles, 90021
LOS ANGELES, California 90017
(34.04807219200006, -118.26139502899997)"
SSG-LITTLE TOKYO SERVICE CENTER,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ARMENIAN, CZECH, ENGLISH, FRENCH, GERMAN, POLISH, RUSSIAN",NGA,(213) 473-3035,"231 EAST 3RD ST. STE. G106
LOS ANGELES, California 90013
(34.04813531600007, -118.24402469599994)"
CHILDREN'S HOSPITAL LA-COVENANT,90027,4,SA 4 Metro,INPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"AMERICAN SIGN, ENGLISH, FRENCH, HEBREW, JAPANESE, SPANISH, THAI",NGA,(213) 461-3131,"1325 NORTH WESTERN AVE.
LOS ANGELES, California 90027
(34.09559089000004, -118.30923232399999)"
SPECIAL SERVICES FOR GROUPS API ALLIANCE,90015,4,SA 4 Metro,COMMUNITY OUTREACH,"COMMUNITY OUTREACH, MENTAL HEALTH PROMOTION",CHILD/TAY,"AFGHAN, CALO, CAMBODIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, JAPANESE, KOREAN, LAO, MANDARIN, OTHER CHINESE,  PORTUGUESE, SAMOAN, SPANISH, URDU",NGA,(213) 236-9388,"605 WEST OLYMPIC BLVD. STE. 780
LOS ANGELES, California 90015
(34.04393524900007, -118.26194382999995)"
WEST CENTRAL FAMILY MENTAL HEALTH SERVICES,90008,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, DAY REHABILITATION, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, FRENCH, JAPANESE, MANDARIN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,(323) 298-3715,"3751 STOCKER ST.
LOS ANGELES, California 90008
(34.00603670000004, -118.33887822999998)"
PACIFIC CLINICS-EL CAMINO MENTAL HEALTH CENTER,90670,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, DUAL DIAGNOSIS, FIELD CAPABLE CLINICAL AND SERVICES, FULL SERVICE PARTNERSHIP, GROUP COUNSELING, INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT,"AMERICAN SIGN, ARABIC, CANTONESE, DUTCH, ENGLISH, FRENCH, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PUNJABI, RUSSIAN,  SPANISH, TAIWAINESE, TAGALOG, TELUGU, THAI, TOISAN, TURKISH",NGA,(877) 722-2737,"11721 EAST TELEGRAPH RD. BLDG A
SANTA FE SPRINGS, California 90670
(33.94604660400006, -118.08267873899996)"
CRITTENTON FAMILY CENTER,90807,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, HUNGARIAN, KOREAN, LAO, OTHER CHINESE, ROMANIAN, SINGHALESE, SPANISH, TELUGU, THAI, VIETNAMESE",NGA,(562) 929-4308,"3605 LONG BEACH BLVD. STE. 110
LONG BEACH, California 90807
(33.82274092700004, -118.18938233999995)"
MENTAL HEALTH AMERICA OF LOS ANGELES WELLNES CENTER,90813,8,SA 8 Harbor,OUTPATIENT,MENTAL HEALTH SERVICES,ADULT,"BULGARIAN, ENGLISH, JAPANESE, MANDARIN, RUSSIAN, SPANISH, TAGALOG, TELUGU, THAI, VIETNAMESE",NGA,(562) 285-0149,"1078 ATLANTIC AVE.
LONG BEACH, California 90813
(33.78038074300002, -118.18501634399996)"
GARDENA SOCIAL ACTIVITY CENTER,90249,8,SA 8 Harbor,COMMUNITY OUTREACH,COMMUNITY OUTREACH,ADULT,ENGLISH,NGA,(310) 217-9550,"2320 WEST 149TH ST.
GARDENA, California 90249
(33.896604326000045, -118.31892465899995)"
SPECIALIZED FOSTER CARE-TORRANCE,90501,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(562)-437-7413,"2325 CRENSHAW BLVD.
TORRANCE, California 90501
(33.824053176000064, -118.32855570799995)"
OLIVE CREST TREATMENT CENTERS-TORRANCE,90503,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, FARSI, ITALIAN, MANDARIN, SPANISH",NGA,(562) 866-8956,"3625 DEL AMO BLVD. STE. 170
TORRANCE, California 90503
(33.84860850100006, -118.35030886599998)"
LONG BEACH ASIAN PACIFIC MENTAL HEALTH PROGRAM,90804,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"CAMBODIAN, CANTONESE, ENGLISH, FRENCH, IIOCANO, JAPANESE, MANDARIN, SAMOAN, SPANISH, TAGALOG TAIWANESE, VIETNAMESE",DMH,(562) 346-1100,"4510 EAST PACIFIC COAST HWY. STE. 600
LONG BEACH, California 90804
(33.787976040000046, -118.139829024)"
LAC EOB CRISIS & HOMELESS LONG BEACH,90717,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, HEBREW, IIOCANO, JAPANESE, MANDARIN, RUSSIAN, SPANISH, TAGALOG, THAI",DMH,(310) 534-1083,"24330 NARBONNE AVE. STE. 2
LOMITA, California 90717
(33.80459656200003, -118.31986796399997)"
THE GUIDANCE CENTER,90813,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(562) 595-1159,"1301 PINE AVE.
LONG BEACH, California 90813
(33.782693893000044, -118.19241841099995)"
EXODUS RECOVERY INC.,90033,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT,"CANTONESE, ENGLISH, FARSI, FRENCH, HUNGARIAN, IBO, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, TAGALOG, TURKISH, UKRANIAN, VIETNAMESE",NGA,(323) 276-6400,"1920 MARENGO ST. 1ST FL.
LOS ANGELES, California 90033
(34.05758517900006, -118.20967056599994)"
CHILDREN'S INSTITUTE INC.,90005,4,SA 4 Metro,OUTPATIENT,"FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, ITALIAN, KOREAN, MANDARIN, MARATHI, OTHER CHINESE, PORTUGESE, SERBO-CROATIAN, SPANISH, SWAHILLI, TAGALOG, URDU",NGA,(213) 385-5100,"711 SOUTH NEW HAMPSHIRE AVE.
LOS ANGELES, California 90005
(34.05951125100006, -118.29292268299997)"
JUVENILE JUSTICE TRANSITIONAL AFTERCARE SERVICES,90020,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",DMH,(213) 738-4875,"550 SOUTH VERMONT AVE. 4TH FL. #400
LOS ANGELES, California 90020
(34.06636144500004, -118.30164844599994)"
EXODUS RECOVERY INC.,90044,6,SA 6 South,OUTPATIENT,"CRISIS INTERVENTION, DAY TREATMENT INTENSIVE, FULL SERVICE PARTNERSHIP, MEDICATION SUPPPORT, MENTAL HEALTH SERVICES, WELLNESS CENTER",ADULT,"AFRIKAANS, ARMENIAN, CANTONESE, ENGLISH, FARSI, HUNGARIAN, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, URDU, VIETNAMESE",NGA,(323) 789-6492,"8401 SOUTH VERMONT AVE.
LOS ANGELES, California 90044
(33.96257954300006, -118.29193196499995)"
EXODUS RECOVERY INC.,90277,8,SA 8 Harbor,OUTPATIENT,MENTAL HEALTH SERVICES,ADULT,"AFRIKAANS, ARMENIAN, CANTONESE, ENGLISH, FARSI, HUNGARIAN, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, URDU, VIETNAMESE",NGA,(310) 792-5454,"923 SOUTH CATALINA AVE.
REDONDO BEACH, California 90277
(33.82673934500008, -118.38872248499996)"
SAN FERNANDO VALLEY CMHC-VICTORY CLUB HOUSE,91411,2,SA 2 San Fernando Valley,OUTPATIENT,"DAY REHABILITATION, MENTAL HEALTH SERVICES, PEI",ADULT,"AMERICAN SIGN, ARMENIAN, ENGLISH, SPANISH",NGA,(818) 989-7475,"14515 HAMLIN ST. STE. 102
VAN NUYS, California 91411
(34.18868834700004, -118.44925991499997)"
STAR VIEW COMMUNITY SERVICES,90807,8,SA 8 Harbor,OUTPATIENT,"INDIVIDUAL THERAPY, MENTAL HEALTH SERVICES, MENTAL HEALTH SERVICES, FULL SERVICE PARTNERSHIP, OUTPATIENT, SCHOOL BASED SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"AMERICAN SIGN, CAMBODIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, JAPANESE, KOREAN, MANDARIN, MARATHI, OTHER CHINESE, PORTUGUESE, SPANISH, TAGALOG, URDU, VISAYAN",NGA,(562) 427-6818,"100 EAST WARDLOW RD.
LONG BEACH, California 90807
(33.818924598000024, -118.19036936299995)"
AUGUSTUS F. HAWKINS MENTAL HEALTH CENTER,90059,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, COMMUNITY SUPPORT, FCCS, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, WELLNESS CENTER",ADULT/CHILD/TAY,"AMERICAN SIGN, CANTONESE, ENGLISH, GERMAN, ITALIAN, JAPANESE, MANDARIN, SPANISH, SWATOWESE, TAGALOG",DMH,(310) 668-4272,"1720 EAST 120TH ST.
LOS ANGELES, California 90059
(33.92438370600007, -118.24406041699996)"
WOMEN'S JAIL MENTAL HEALTH SERVICES,90262,6,SA 6 South,FORENSIC,"COMMUNITY OUTREACH, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARABIC, ARMENIAN, BENGALI, CAMBODIAN, CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, MANDARIN, NORWEGIAN, OTHER CHINESE, PORTUGUESE, ROMANIAN, RUSSIAN, SINGHALESE",DMH,(323) 568-4678,"11705 SOUTH ALAMEDA ST.
LYNWOOD, California 90262
(33.92790507900003, -118.22494175699995)"
SAN FERNANDO VALLEY CMHC-TRANSITIONS-BEVIS,91405,2,SA 2 San Fernando Valley,RESIDENTIAL,TRANSITIONAL RESIDENTIAL,CHILD/TAY,ENGLISH,NGA,(818) 901-4830,"6930 BEVIS ST.
VAN NUYS, California 91405
(34.196521559000075, -118.45639599599997)"
CHILDNET YOUTH & FAMILY SERVICES,90804,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, MANDARIN, PUNJABI, SPANISH",NGA,(562) 490-7600,"5150 EAST PACIFIC COAST HWY. STE. 100
LONG BEACH, California 90804
(33.78321766100004, -118.13335839799998)"
SOUTH BAY MENTAL HEALTH SERVICES,90260,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",DMH,(310) 970-5000,"14623 HAWTHORNE BLVD. STE. 400
LAWNDALE, California 90260
(33.89856107000003, -118.35278281499996)"
SOUTH BAY CHILDREN'S HEALTH CENTER,90501,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 328-0855,"1617 CRAVENS AVE.
TORRANCE, California 90501
(33.83269894600005, -118.31581876699994)"
COUNSELING 4 KIDS-TORRANCE,90502,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"BENGALI, CANTONESE, ENGLISH, SPANISH, THAI",NGA,(310) 817-2177,"19701 HAMILTON AVE. STE. 160
TORRANCE, California 90502
(33.85174962100007, -118.28608298199998)"
STAR VIEW COMMUNITY SERVICES,90503,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 787-1500,"370 SOUTH CRENSHAW BLVD. STE. E 100
TORRANCE, California 90503
(33.84413011100003, -118.32871762499997)"
PACIFIC CLINICS-EAST-YOUTH DAY TREATMENT,91016,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, HEBREW, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAGALOG, TAIWANESE, URDU",NGA,(626) 303-1541,"902 SOUTH MYRTLE AVE.
MONROVIA, California 91016
(34.14216151200003, -118.00085635999994)"
DIDI HIRSCH-MAR VISTA,90066,5,SA 5 West,OUTPATIENT,"CALWORKS, CASE MANAGEMENT, CPT, CRISIS INTERVENTION, EBP-CORS, EBP-CPT, EBP-PCIT, EBP-PP, EBP-SS, EBP-TF_CBT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 751-1200,"12420 VENICE BLVD. STE. 200
LOS ANGELES, California 90066
(34.00318480200008, -118.43436667199995)"
DIDI HIRSCH-CULVER PALMS,90232,5,SA 5 West,OUTPATIENT,"MENTAL HEALTH SERVICES, SUBSTANCE ABUSE RESOURCE CENTER, SURVIVORS AFTER SUICIDE, SURVIVORS OF SUICIDE",ADULT,"ENGLISH, SPANISH",NGA,(310) 895-2300,"11133 WASHINGTON BLVD.
CULVER CITY, California 90232
(34.00882751600005, -118.41208681799998)"
HOMES FOR LIFE FOUNDATION,90045,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, FIELD CAPABLE CLINICAL SERVICES, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(310) 337-7417,"8939 SEPULVEDA BLVD. STE. 460
LOS ANGELES, California 90045
(33.954959504000044, -118.396252646)"
ST. JOHN'S CHILD & FAMILY DEVELOPMENT CENTER,90404,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, DAY REHABILITATION, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOGICAL TESTING FOR DEVELOPMENTALLY DISABLED, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FRENCH, HEBREW, RUSSIAN, SPANISH",NGA,(310) 829-8921,"1339 20TH ST.
SANTA MONICA, California 90404
(34.02948853100003, -118.48091665299995)"
DIDI HIRSCH-SEPULVEDA,90203,5,SA 5 West,OUTPATIENT,"AB109, CASE MANAGEMENT, EBP-CBT, EBP-CORS, EBP-SS, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEER SUPPORT AND ADVOCACY, PEI, PSYCHOLOGICAL TESTING, WELLNESS CENTER",ADULT/OLDER ADULT/TAY,"ENGLISH, FARSI, SPANISH",NGA,(310) 390-6612,"4760 SOUTH SEPULVEDA BLVD.
CULVER CITY, California 90203
(34.02161104900006, -118.39620836299997)"
ST. JOSEPH'S CENTER-SANTA MONICA,90404,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(310) 309-6001,"1450 20TH ST.
SANTA MONICA, California 90404
(34.027737623000064, -118.47897841499997)"
EDMUND D EDELMAN MENTAL HEALTH CENTER-CHILD,90064,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",DMH,(310) 966-6610,"11080 WEST OLYMPIC BLVD. 1ST FL.
LOS ANGELES, California 90064
(34.040395439000065, -118.43754581799999)"
THE HELP GROUP,90066,5,SA 5 West,OUTPATIENT,"CalWORKS, ENHANCED MENTAL HEALTH SERVICES, EPSDT,FAMILY PRESERVATION DMH, FAMILY THERAPY, FCCS, FSP, GROUP THERAPY, MEDICATION SUPPORT, MULTIDICIPLINARY ASSESSMENT TEAM, PEI, PSYCHOL",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 751-1174,"12099 WASHINGTON BLVD. STE. 200
LOS ANGELES, California 90066
(33.99747755000004, -118.42401226799996)"
THE HELP GROUP-WEST OUTPATIENT,90066,5,SA 5 West,OUTPATIENT,"COMMUNITY OUTREACH, ENHANCED MENTAL HEALTH SERVICES,FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 751-1174,"12099 WASHINGTON BLVD. STE 200
LOS ANGELES, California 90066
(33.99747755000004, -118.42401226799996)"
ALCOTT CENTER FOR MENTAL HEALTH SERVICES,90035,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES, MENTAL HEALTH SERVICES, MEDICATION SUPPORT, PEI, SOCIALIZATION",ADULT,"ENGLISH, FARSI, RUSSIAN",NGA,(310) 785-2121,"1433 SOUTH ROBERTSON BLVD.
LOS ANGELES, California 90035
(34.053710367000065, -118.38393607999996)"
WISE & HEALTHY AGING,90401,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",OLDER ADULT,"ENGLISH, FARSI, RUSSIAN",NGA,(310) 394-9871,"1527 4TH ST. 3RD FL.
SANTA MONICA, California 90401
(34.014553215000035, -118.49293946099999)"
PACIFIC ASIAN COUNSELING SERVICES,90045,5,SA 5 West,OUTPATIENT,"COMMUNITY OUTREACH, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"CAMBODIAN, CANTONESE, ENGLISH, JAPANESE, KOREAN, MANDARIN, SPANISH",NGA,(310) 337-1550,"8616 LA TIJERA BLVD. STE. 200
LOS ANGELES, California 90045
(33.95939809300006, -118.39189932599999)"
CHILDREN'S HOSPITAL COMMUNITY MENTAL HEALTH CENTER,90010,4,SA 4 Metro,INPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"AFRIKAANS, CANTONESE, CREOLE, CZECH, ENGLISH, FARSI, FRENCH, GREEK, HEBREW, HINDI, ITALIAN, KOREAN, MANDARIN,  PORTUGUESE,  SPANISH,  SWATOWESE,  SWEDISH,  TAIWANESE",NGA,(323) 669-2350,"3250 WILSHIRE BLVD.
LOS ANGELES, California 90010
(34.06175298200003, -118.29325939299997)"
ALMANSOR CLINICAL SERVICES,90040,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, CO-OCCURRING DISORDERS COUNSELING, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, INDIVIDUAL COUNSELING, MEDICATION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, HUNGARIAN, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, SWEDISH, TAGALOG, VIETNAMESE",NGA,(323) 622-0715,"5900 EASTERN AVE.
COMMERCE, California 90040
(33.98362481800007, -118.16231639199998)"
OCEAN PARK-OPCC-SAFE HAVEN,90404,5,SA 5 West,COMMUNITY OUTREACH,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SOCIALIZATION, SUPPORTIVE HOUSING",ADULT,"ENGLISH, FARSI, MANDARIN, SPANISH",NGA,(310) 883-1222,"1751 CLOVERFIELD BLVD.
SANTA MONICA, California 90404
(34.02572228200006, -118.47062898099995)"
DIDI HIRSCH JUMP STREET,90035,5,SA 5 West,RESIDENTIAL,"28 DAY MAXIMUM STAY, CASE MANAGEMENT, INTERACTIVE GROUPS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, CRISIS STABILIZATION, PEER ADVOCACY",ADULT,"ENGLISH, SPANISH",NGA,(310) 855-0031,"1233 SOUTH LA CIENEGA BLVD.
LOS ANGELES, California 90035
(34.05474019500008, -118.37622253199999)"
EOB CRISIS & HOMELESS-EDELMAN,90066,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ENGLISH, SPANISH",DMH,(310) 483-3260,"11303 WEST WASHINGTON BLVD. STE. 200
LOS ANGELES, California 90066
(34.00407282100008, -118.41475587399998)"
SSG-METRO COUNSELING CENTER,90015,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"AFGHAN, CALO, CAMBODIAN, CANTONESE,  ENGLISH, LAO, MANDARIN, JAPANESE, KOREAN, PASHTO, PORTUGESE, PUSH, SPANISH,  SWEDISH,  TAGALOG,  TAIWANESE, THAI,  TOISAN,  TURKISH",NGA,(213) 553-1850,"605 WEST OLYMPIC BLVD. STE. 550
LOS ANGELES, California 90015
(34.04393524900007, -118.26194382999995)"
HARBOR-UCLA MEDICAL CENTER,90509,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTVTN, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",ADULT/CHILD/TAY,"AFRIKAANS, ARABIC, ARMENIAN, CAMBODIAN, CANTONESE, ENGLISH, ETHIOPIAN, FRENCH, GERMAN, GREEK, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, PUNJABI, SIGN",DMH,(310) 222-3151,"1000 WEST CARSON ST. BLDG D-5
TORRANCE, California 90509
(33.83155528900005, -118.29357752399994)"
SHIELDS FOR FAMILIES-SCHOOL BASED,90805,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, GREEK, KOREAN, MANDARIN, RUSSIAN, SPANISH, SWEDISH",NGA,(310) 603-1030,"161 WEST VICTORIA ST.
LONG BEACH, California 90805
(33.86488435100006, -118.20304928899998)"
LAUSD 97TH STREET SCHOOL MENTAL HEALTH CENTER,90003,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY SUPPORT, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SCHOOL BASED SERVICES",CHILD/TAY,"AMERICAN SIGN, ARMENIAN, CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, TAGALOG, TELUGU, VIETNAMESE",NGA,(323) 754-2856,"439 WEST. 97TH ST.
LOS ANGELES, California 90003
(33.94834771100005, -118.26596990299998)"
SANTA CLARITA VALLEY MENTAL HEALTH CENTER,91355,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, NEUROPSYCHOLOGICAL ASSESMENT, PSYCHOLOGICAL ASSESSMENT",ADULT,"ARMENIAN, ENGLISH, FARSI, HINDI, HUNGARIAN, ILOCANO, PAKISTANI, RUSSIAN, SPANISH, TAGALOG, URDU",DMH,(661) 288-4800,"23501 CINEMA DR. STE. 200
VALENCIA, California 91355
(34.42035575800003, -118.54624632299999)"
